GATEWAYID,SIP REQUEST,OWNER,Type,OPERATOR,,IP,Position,Conso Max
1021,SIP/41.204.96.174/933410210 ,FRED,SIMBOX,TELMA,GOIP9,s1-192.168.0.101,1,
1022,SIP/41.204.96.174/933410220 ,FRED,SIMBOX,TELMA,GOIP9,s1-192.168.0.101,2,
1023,SIP/41.204.96.174/933410230 ,FRED,SIMBOX,TELMA,GOIP9,s1-192.168.0.101,3,
1024,SIP/41.204.96.174/933410240 ,FRED,SIMBOX,TELMA,GOIP9,s1-192.168.0.101,4,
1025,SIP/41.204.96.174/933410250 ,FRED,SIMBOX,TELMA,GOIP9,s1-192.168.0.101,5,
1026,SIP/41.204.96.174/933410260 ,FRED,SIMBOX,TELMA,GOIP9,s1-192.168.0.101,6,
1027,SIP/41.204.96.174/933410270 ,FRED,SIMBOX,TELMA,GOIP9,s1-192.168.0.101,7,
1028,SIP/41.204.96.174/933410280 ,FRED,SIMBOX,TELMA,GOIP9,s1-192.168.0.101,8,
1031,SIP/41.204.96.174/933410310 ,FRED,SIMBOX,TELMA,GOIP12,s1-192.168.0.104,1,
1032,SIP/41.204.96.174/933410320 ,FRED,SIMBOX,TELMA,GOIP12,s1-192.168.0.104,2,
1033,SIP/41.204.96.174/933410330 ,FRED,SIMBOX,TELMA,GOIP12,s1-192.168.0.104,3,
1034,SIP/41.204.96.174/933410340 ,FRED,SIMBOX,TELMA,GOIP12,s1-192.168.0.104,4,
1035,SIP/41.204.96.174/933410350 ,FRED,SIMBOX,TELMA,GOIP12,s1-192.168.0.104,5,
1036,SIP/41.204.96.174/933410360 ,FRED,SIMBOX,TELMA,GOIP12,s1-192.168.0.104,6,
1037,SIP/41.204.96.174/933410370 ,FRED,SIMBOX,TELMA,GOIP12,s1-192.168.0.104,7,
1038,SIP/41.204.96.174/933410380 ,FRED,SIMBOX,TELMA,GOIP12,s1-192.168.0.104,8,
1041,SIP/41.204.96.174/933410410 ,FRED,SIMBOX,TELMA,GOIP13,s1-192.168.0.105,1,
1042,SIP/41.204.96.174/933410420 ,FRED,SIMBOX,TELMA,GOIP13,s1-192.168.0.105,2,
1043,SIP/41.204.96.174/933410430 ,FRED,SIMBOX,TELMA,GOIP13,s1-192.168.0.105,3,
1044,SIP/41.204.96.174/933410440 ,FRED,SIMBOX,TELMA,GOIP13,s1-192.168.0.105,4,
1045,SIP/41.204.96.174/933410450 ,FRED,SIMBOX,TELMA,GOIP13,s1-192.168.0.105,5,
1046,SIP/41.204.96.174/933410460 ,FRED,SIMBOX,TELMA,GOIP13,s1-192.168.0.105,6,
1047,SIP/41.204.96.174/933410470 ,FRED,SIMBOX,TELMA,GOIP13,s1-192.168.0.105,7,
1048,SIP/41.204.96.174/933410480 ,FRED,SIMBOX,TELMA,GOIP13,s1-192.168.0.105,8,
2341,SIP/41.204.96.174/933423410 ,FRED,SIMBOX,ORANGE,GOIP14,s1-192.168.0.106,1,
2342,SIP/41.204.96.174/933423420 ,FRED,SIMBOX,ORANGE,GOIP14,s1-192.168.0.106,2,
2343,SIP/41.204.96.174/933423430 ,FRED,SIMBOX,ORANGE,GOIP14,s1-192.168.0.106,3,
2344,SIP/41.204.96.174/933423440 ,FRED,SIMBOX,ORANGE,GOIP14,s1-192.168.0.106,4,
2055,SIP/41.204.96.174/933420550 ,FRED,SIMBOX,ORANGE,GOIP14,s1-192.168.0.106,5,
2056,SIP/41.204.96.174/933420560 ,FRED,SIMBOX,ORANGE,GOIP14,s1-192.168.0.106,6,
2057,SIP/41.204.96.174/933420570 ,FRED,SIMBOX,ORANGE,GOIP14,s1-192.168.0.106,7,
2058,SIP/41.204.96.174/933420580 ,FRED,SIMBOX,ORANGE,GOIP14,s1-192.168.0.106,8,
2131,SIP/41.204.96.174/933430310 ,FRED,SIMBOX,ORANGE mixte,GOIP10,s2-192.168.0.102,1,
2132,SIP/41.204.96.174/933430320 ,FRED,SIMBOX,ORANGE mixte,GOIP10,s2-192.168.0.102,2,
2133,SIP/41.204.96.174/933430330 ,FRED,SIMBOX,ORANGE mixte,GOIP10,s2-192.168.0.102,3,
2134,SIP/41.204.96.174/933430340 ,FRED,SIMBOX,ORANGE mixte,GOIP10,s2-192.168.0.102,4,
2135,SIP/41.204.96.174/933430350 ,FRED,SIMBOX,ORANGE mixte,GOIP10,s2-192.168.0.102,5,
2136,SIP/41.204.96.174/933430360 ,FRED,SIMBOX,ORANGE mixte,GOIP10,s2-192.168.0.102,6,
2137,SIP/41.204.96.174/933430370 ,FRED,SIMBOX,ORANGE mixte,GOIP10,s2-192.168.0.102,7,
2138,SIP/41.204.96.174/933430380 ,FRED,SIMBOX,ORANGE mixte,GOIP10,s2-192.168.0.102,8,
1051,SIP/41.204.96.174/933430410 ,FRED,SIMBOX,TELMA,GOIP11,192.168.0.103,1,
1052,SIP/41.204.96.174/933430420 ,FRED,SIMBOX,TELMA,GOIP11,192.168.0.103,2,
1053,SIP/41.204.96.174/933430430 ,FRED,SIMBOX,TELMA,GOIP11,192.168.0.103,3,
1054,SIP/41.204.96.174/933430440 ,FRED,SIMBOX,TELMA,GOIP11,192.168.0.103,4,
1055,SIP/41.204.96.174/933430450 ,FRED,SIMBOX,TELMA,GOIP11,192.168.0.103,5,
